Muestra 1;;;;
23/06/2023 20:11;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
427;2,106;1,83;1,393;1,636
427,5;2,086;1,846;1,429;1,658
428;1,995;1,825;1,443;1,652
428,5;1,959;1,847;1,49;1,699
429;1,933;1,787;1,466;1,694
429,5;1,891;1,645;1,39;1,633
430;1,784;1,549;1,305;1,582
430,5;1,696;1,472;1,224;1,483
431;1,661;1,416;1,187;1,438
431,5;1,547;1,347;1,111;1,351
432;1,499;1,324;1,088;1,317
432,5;1,562;1,391;1,122;1,345
433;1,555;1,463;1,154;1,374
433,5;1,604;1,584;1,197;1,427
434;1,659;1,64;1,203;1,463
434,5;1,64;1,593;1,2;1,458
435;1,63;1,608;1,199;1,456
435,5;1,636;1,574;1,191;1,428
436;1,626;1,495;1,166;1,378
436,5;1,579;1,438;1,115;1,306
437;1,567;1,38;1,091;1,267
437,5;1,659;1,451;1,105;1,267
438;1,689;1,514;1,117;1,294
438,5;1,666;1,55;1,097;1,308
439;1,668;1,555;1,115;1,33
439,5;1,603;1,498;1,095;1,336
440;1,562;1,471;1,083;1,351
440,5;1,538;1,381;1,055;1,348
441;1,498;1,303;1,029;1,313
441,5;1,46;1,282;1,025;1,292
442;1,402;1,203;1;1,245
442,5;1,45;1,168;1,009;1,206
443;1,399;1,147;0,992;1,194
443,5;1,298;1,109;0,958;1,171
444;1,284;1,12;0,978;1,155
444,5;1,297;1,202;0,986;1,168
445;1,299;1,258;0,991;1,155
445,5;1,323;1,334;1;1,172
446;1,368;1,464;1,064;1,228
446,5;1,384;1,53;1,1;1,266
447;1,361;1,492;1,101;1,263
447,5;1,362;1,416;1,084;1,262
448;1,311;1,376;1,067;1,273
448,5;1,262;1,312;1,014;1,287
449;1,24;1,247;1,014;1,262
449,5;1,188;1,103;0,97;1,197
450;1,106;0,967;0,89;1,091
450,5;1,026;0,919;0,833;1,063
451;1,012;0,916;0,81;1,056
451,5;1,01;0,912;0,77;1,041
452;0,979;0,907;0,715;1,011
452,5;1;0,935;0,666;1,004
453;0,983;0,959;0,641;0,968
453,5;0,99;0,905;0,604;0,956
454;1,003;0,869;0,599;0,94
454,5;0,97;0,735;0,565;0,888
455;0,908;0,628;0,521;0,8
455,5;0,864;0,533;0,502;0,757
456;0,89;0,479;0,51;0,766
456,5;0,846;0,429;0,477;0,74
457;0,783;0,426;0,474;0,712
457,5;0,741;0,459;0,486;0,713
458;0,691;0,472;0,474;0,691
458,5;0,71;0,499;0,477;0,698
459;0,744;0,582;0,485;0,716
459,5;0,781;0,658;0,486;0,73
460;0,842;0,728;0,527;0,738
460,5;0,882;0,787;0,551;0,753
461;0,938;0,826;0,578;0,77
461,5;0,916;0,799;0,561;0,743
462;0,822;0,705;0,524;0,668
462,5;0,779;0,646;0,482;0,647
463;0,702;0,482;0,417;0,608
463,5;0,648;0,374;0,397;0,591
464;0,625;0,31;0,396;0,573
464,5;0,59;0,227;0,349;0,544
465;0,535;0,216;0,333;0,512
465,5;0,566;0,232;0,327;0,506
466;0,562;0,235;0,292;0,444
466,5;0,496;0,252;0,251;0,408
467;0,37;0,194;0,163;0,321
467,5;0,359;0,153;0,112;0,296
468;0,363;0,108;0,121;0,33
468,5;0,398;0,14;0,153;0,39
469;0,451;0,156;0,175;0,423
469,5;0,477;0,156;0,14;0,407
470;0,518;0,212;0,139;0,403
470,5;0,634;0,245;0,147;0,4
471;0,671;0,265;0,135;0,358
471,5;0,674;0,291;0,157;0,363
472;0,632;0,232;0,146;0,331
472,5;0,62;0,179;0,173;0,331
473;0,547;0,094;0,189;0,36
473,5;0,512;0,058;0,235;0,385
474;0,455;-0,011;0,203;0,362
474,5;0,339;-0,077;0,146;0,333
475;0,269;-0,147;0,093;0,306
475,5;0,258;-0,118;0,053;0,273
476;0,236;-0,081;-0,005;0,243
476,5;0,192;-0,1;-0,078;0,192
477;0,131;-0,123;-0,112;0,159
477,5;0,141;-0,097;-0,132;0,135
478;0,117;-0,137;-0,144;0,119
478,5;0,126;-0,15;-0,116;0,103
479;0,19;-0,097;-0,107;0,098
479,5;0,184;-0,13;-0,12;0,105
480;0,185;-0,221;-0,146;0,071
480,5;0,213;-0,233;-0,145;0,082
481;0,168;-0,293;-0,198;0,059
481,5;0,139;-0,32;-0,231;0,017
482;0,145;-0,283;-0,195;0,062
482,5;0,143;-0,185;-0,149;0,106
483;0,162;-0,068;-0,08;0,168
483,5;0,149;0,004;-0,013;0,184
484;0,172;0,126;0,044;0,213
484,5;0,173;0,139;0,07;0,211
485;0,214;0,171;0,108;0,231
485,5;0,272;0,218;0,15;0,267
486;0,334;0,214;0,161;0,261
486,5;0,428;0,29;0,173;0,286
487;0,474;0,348;0,205;0,338
487,5;0,524;0,433;0,257;0,414
488;0,548;0,479;0,279;0,443
488,5;0,473;0,361;0,241;0,426
489;0,361;0,251;0,193;0,405
489,5;0,257;0,161;0,14;0,363
490;0,217;0,169;0,088;0,365
490,5;0,202;0,15;0,03;0,329
491;0,2;0,103;-0,02;0,265
491,5;0,19;0,088;-0,056;0,241
492;0,138;0,078;-0,068;0,181
492,5;0,171;0,079;-0,06;0,145
