Muestra 1;;;;
23/06/2023 20:11;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
770;-1,187;;;
770,5;-1,183;;;
771;-1,256;;;
771,5;-1,304;;;
772;-1,364;;;
772,5;-1,461;;;
773;-1,507;;;
773,5;-1,436;;;
774;-1,323;;;
774,5;-1,369;;;
775;-1,342;;;
775,5;-1,275;;;
776;-1,31;;;
776,5;-1,139;;;
777;-1,079;;;
777,5;-1,165;;;
778;-1,167;;;
778,5;-1,189;;;
779;-1,167;;;
779,5;-1,252;;;
780;-1,265;;;
780,5;-1,277;;;
781;-1,307;;;
781,5;-1,261;;;
782;-1,372;;;
782,5;-1,433;;;
783;-1,462;;;
783,5;-1,466;;;
784;-1,379;;;
784,5;-1,369;;;
785;-1,352;;;
785,5;-1,314;;;
786;-1,352;;;
786,5;-1,463;;;
787;-1,486;;;
787,5;-1,529;;;
788;-1,462;;;
788,5;-1,427;;;
789;-1,308;;;
789,5;-1,317;;;
790;-1,225;;;
790,5;-1,184;;;
791;-1,24;;;
791,5;-1,156;;;
792;-1,051;;;
792,5;-1,031;;;
793;-0,968;;;
793,5;-0,998;;;
794;-0,98;;;
794,5;-1,067;;;
795;-1,056;;;
795,5;-1,123;;;
796;-1,199;;;
796,5;-1,182;;;
797;-1,299;;;
797,5;-1,454;;;
798;-1,636;;;
798,5;-1,657;;;
799;-1,62;;;
799,5;-1,655;;;
800;-1,529;;;
800,5;-1,496;;;
801;-1,383;;;
801,5;-1,365;;;
802;-1,377;;;
802,5;-1,488;;;
803;-1,543;;;
803,5;-1,595;;;
804;-1,465;;;
804,5;-1,567;;;
805;-1,578;;;
805,5;-1,53;;;
806;-1,437;;;
806,5;-1,374;;;
807;-1,152;;;
807,5;-1,057;;;
808;-1,033;;;
808,5;-1,007;;;
809;-0,943;;;
809,5;-1,05;;;
810;-1,128;;;
810,5;-1,166;;;
811;-1,387;;;
811,5;-1,548;;;
812;-1,593;;;
812,5;-1,66;;;
813;-1,777;;;
813,5;-1,703;;;
814;-1,629;;;
814,5;-1,492;;;
815;-1,424;;;
815,5;-1,305;;;
816;-1,22;;;
816,5;-1,177;;;
817;-1,123;;;
817,5;-1,008;;;
818;-1;;;
818,5;-0,976;;;
819;-1,134;;;
819,5;-1,325;;;
820;-1,429;;;
820,5;-1,4;;;
821;-1,316;;;
821,5;-1,3;;;
822;-1,247;;;
822,5;-1,156;;;
823;-1,128;;;
823,5;-1,123;;;
824;-1,272;;;
824,5;-1,296;;;
825;-1,286;;;
825,5;-1,27;;;
826;-1,269;;;
826,5;-1,318;;;
827;-1,434;;;
827,5;-1,492;;;
828;-1,466;;;
828,5;-1,447;;;
829;-1,383;;;
829,5;-1,348;;;
830;-1,338;;;
830,5;-1,282;;;
831;-1,353;;;
831,5;-1,435;;;
832;-1,572;;;
832,5;-1,552;;;
833;-1,5;;;
833,5;-1,352;;;
834;-1,159;;;
834,5;-1,067;;;
835;-0,928;;;
835,5;-0,784;;;
836;-0,858;;;
836,5;-0,892;;;
837;-0,999;;;
837,5;-1,089;;;
838;-1,088;;;
838,5;-1,132;;;
839;-1,186;;;
839,5;-1,206;;;
840;-1,021;;;
840,5;-1,009;;;
841;-1,013;;;
841,5;-0,924;;;
842;-1,031;;;
842,5;-1,04;;;
843;-1,115;;;
843,5;-1,256;;;
844;-1,312;;;
844,5;-1,353;;;
845;-1,22;;;
845,5;-1,267;;;
846;-1,232;;;
846,5;-1,314;;;
847;-1,236;;;
847,5;-1,297;;;
848;-1,489;;;
848,5;-1,396;;;
849;-1,427;;;
849,5;-1,431;;;
850;-1,304;;;
;;;;
;;;;
Muestra 4;;;;
23/06/2023 20:15;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
190;211,166;;;
190,5;208,202;;;
191;206,804;;;
191,5;205,278;;;
192;202,965;;;
192,5;201,593;;;
193;200,147;;;
193,5;197,598;;;
194;195,274;;;
194,5;193,539;;;
195;191,971;;;
195,5;190,285;;;
196;187,981;;;
196,5;185,449;;;
197;182,087;;;
197,5;179,5;;;
198;176,021;;;
198,5;171,938;;;
199;168,665;;;
199,5;165,599;;;
200;163,042;;;
200,5;160,589;;;
201;158,769;;;
201,5;157,215;;;
202;155,419;;;
202,5;153,866;;;
203;151,614;;;
203,5;149,514;;;
204;147,509;;;
204,5;145,655;;;
205;143,315;;;
205,5;140,876;;;
206;138,511;;;
206,5;135,987;;;
207;133,639;;;
207,5;131,4;;;
208;128,819;;;
208,5;126,652;;;
209;124,56;;;
209,5;122,162;;;
210;119,762;;;
210,5;117,722;;;
211;115,584;;;
211,5;113,347;;;
212;111,214;;;
212,5;108,772;;;
213;106,365;;;
213,5;104,455;;;
214;102,286;;;
214,5;100,047;;;
215;98,034;;;
215,5;96,331;;;
216;94,267;;;
216,5;92,276;;;
217;90,3;;;
217,5;88,24;;;
218;86,313;;;
218,5;84,654;;;
219;82,793;;;
219,5;81,164;;;
220;79,652;;;
220,5;78,332;;;
221;76,864;;;
221,5;75,457;;;
222;73,951;;;
222,5;72,441;;;
223;70,666;;;
223,5;68,965;;;
224;67,24;;;
224,5;65,616;;;
225;64,021;;;
225,5;62,48;;;
226;60,827;;;
226,5;59,094;;;
227;57,511;;;
227,5;56,085;;;
228;54,677;;;
228,5;53,485;;;
229;52,516;;;
229,5;51,614;;;
230;50,658;;;
230,5;49,601;;;
231;48,357;;;
231,5;47,011;;;
232;45,545;;;
232,5;44,087;;;
233;42,651;;;
233,5;41,265;;;
234;39,987;;;
234,5;38,781;;;
235;37,646;;;
235,5;36,6;;;
236;35,627;;;
236,5;34,739;;;
237;33,869;;;
237,5;33,017;;;
238;32,232;;;
238,5;31,46;;;
239;30,747;;;
239,5;30,079;;;
240;29,39;;;
240,5;28,722;;;
241;28,168;;;
241,5;27,726;;;
242;27,371;;;
242,5;27,058;;;
243;26,796;;;
243,5;26,493;;;
244;26,221;;;
244,5;25,851;;;
245;25,436;;;
245,5;25,112;;;
246;24,929;;;
246,5;24,793;;;
247;24,717;;;
247,5;24,709;;;
248;24,7;;;
248,5;24,652;;;
249;24,499;;;
249,5;24,179;;;
250;23,888;;;
250,5;23,715;;;
251;23,567;;;
251,5;23,47;;;
252;23,415;;;
252,5;23,465;;;
253;23,52;;;
253,5;23,577;;;
254;23,573;;;
254,5;23,475;;;
255;23,365;;;
255,5;23,304;;;
256;23,275;;;
256,5;23,211;;;
257;23,173;;;
257,5;23,112;;;
258;23,024;;;
258,5;22,997;;;
259;22,998;;;
259,5;23,025;;;
260;23,063;;;
260,5;23,126;;;
261;23,192;;;
261,5;23,194;;;
262;23,212;;;
262,5;23,201;;;
263;23,222;;;
263,5;23,23;;;
264;23,24;;;
264,5;23,282;;;
265;23,231;;;
265,5;23,148;;;
266;23,047;;;
266,5;22,976;;;
267;22,864;;;
267,5;22,809;;;
268;22,731;;;
268,5;22,649;;;
269;22,552;;;
269,5;22,458;;;
270;22,339;;;
270,5;22,323;;;
271;22,289;;;
271,5;22,252;;;
272;22,198;;;
272,5;22,144;;;
273;22,009;;;
273,5;21,802;;;
274;21,489;;;
274,5;21,145;;;
275;20,822;;;
275,5;20,544;;;
276;20,268;;;
276,5;20,026;;;
277;19,88;;;
277,5;19,774;;;
278;19,669;;;
278,5;19,51;;;
279;19,351;;;
279,5;19,205;;;
280;19,059;;;
280,5;18,873;;;
281;18,676;;;
281,5;18,537;;;
282;18,419;;;
282,5;18,293;;;
283;18,132;;;
283,5;17,982;;;
284;17,791;;;
284,5;17,579;;;
285;17,373;;;
285,5;17,139;;;
286;16,971;;;
286,5;16,899;;;
287;16,752;;;
287,5;16,593;;;
288;16,387;;;
288,5;16,207;;;
289;16,004;;;
289,5;15,792;;;
290;15,646;;;
290,5;15,514;;;
291;15,426;;;
291,5;15,35;;;
292;15,207;;;
292,5;15,049;;;
293;14,875;;;
293,5;14,705;;;
294;14,578;;;
294,5;14,44;;;
295;14,326;;;
295,5;14,212;;;
296;14,086;;;
296,5;13,955;;;
297;13,793;;;
297,5;13,651;;;
298;13,471;;;
298,5;13,259;;;
299;13,126;;;
299,5;12,991;;;
300;12,873;;;
300,5;12,751;;;
301;12,591;;;
301,5;12,428;;;
302;12,257;;;
302,5;12,1;;;
303;11,84;;;
303,5;11,588;;;
304;11,454;;;
304,5;11,332;;;
305;11,245;;;
305,5;11,1;;;
306;10,957;;;
306,5;10,776;;;
307;10,598;;;
307,5;10,447;;;
308;10,278;;;
308,5;10,176;;;
309;10,162;;;
309,5;10,129;;;
310;10,054;;;
310,5;9,993;;;
311;9,933;;;
311,5;9,795;;;
312;9,662;;;
312,5;9,56;;;
313;9,486;;;
313,5;9,443;;;
314;9,446;;;
314,5;9,401;;;
315;9,32;;;
315,5;9,234;;;
316;9,088;;;
316,5;8,899;;;
317;8,742;;;
317,5;8,628;;;
318;8,533;;;
318,5;8,489;;;
319;8,605;;;
319,5;8,644;;;
320;8,618;;;
320,5;8,577;;;
321;8,429;;;
321,5;8,267;;;
322;8,118;;;
322,5;7,986;;;
323;7,895;;;
323,5;7,847;;;
324;7,929;;;
324,5;7,856;;;
325;7,814;;;
325,5;7,845;;;
326;7,768;;;
326,5;7,665;;;
327;7,599;;;
327,5;7,567;;;
328;7,538;;;
328,5;7,414;;;
329;7,326;;;
329,5;7,164;;;
330;7,09;;;
330,5;7,087;;;
331;7,075;;;
331,5;7,051;;;
332;7,043;;;
332,5;7,043;;;
333;7,045;;;
333,5;6,955;;;
334;6,891;;;
334,5;6,769;;;
335;6,682;;;
335,5;6,614;;;
336;6,551;;;
336,5;6,463;;;
337;6,3;;;
337,5;6,173;;;
338;6,076;;;
338,5;5,981;;;
339;6,001;;;
339,5;5,937;;;
340;5,898;;;
340,5;5,877;;;
341;5,921;;;
341,5;5,944;;;
342;5,868;;;
342,5;5,786;;;
343;5,785;;;
343,5;5,78;;;
344;5,822;;;
344,5;5,765;;;
345;5,705;;;
345,5;5,655;;;
346;5,635;;;
346,5;5,554;;;
347;5,465;;;
347,5;5,394;;;
348;5,399;;;
348,5;5,351;;;
349;5,368;;;
349,5;5,355;;;
350;5,396;;;
350,5;5,35;;;
351;5,31;;;
351,5;5,225;;;
352;5,176;;;
352,5;5,13;;;
353;5,104;;;
353,5;5,077;;;
354;5,12;;;
354,5;5,124;;;
355;5,141;;;
355,5;5,091;;;
356;5,074;;;
356,5;5,011;;;
357;4,93;;;
357,5;4,869;;;
358;4,803;;;
358,5;4,797;;;
359;4,811;;;
359,5;4,739;;;
360;4,682;;;
360,5;4,707;;;
361;4,793;;;
361,5;4,836;;;
362;4,84;;;
362,5;4,815;;;
363;4,772;;;
363,5;4,751;;;
364;4,681;;;
364,5;4,563;;;
365;4,436;;;
365,5;4,383;;;
366;4,335;;;
366,5;4,269;;;
367;4,199;;;
367,5;4,147;;;
368;4,107;;;
368,5;4,078;;;
369;4,044;;;
369,5;3,968;;;
370;3,916;;;
370,5;3,909;;;
371;3,909;;;
371,5;3,907;;;
372;3,881;;;
372,5;3,871;;;
373;3,841;;;
373,5;3,788;;;
374;3,788;;;
374,5;3,675;;;
375;3,637;;;
375,5;3,589;;;
376;3,588;;;
376,5;3,559;;;
377;3,573;;;
377,5;3,562;;;
378;3,57;;;
378,5;3,613;;;
379;3,665;;;
379,5;3,595;;;
380;3,547;;;
380,5;3,47;;;
381;3,407;;;
381,5;3,358;;;
382;3,33;;;
382,5;3,312;;;
383;3,318;;;
383,5;3,335;;;
384;3,329;;;
384,5;3,34;;;
385;3,277;;;
385,5;3,193;;;
386;3,141;;;
386,5;3,148;;;
387;3,098;;;
387,5;3,12;;;
388;3,107;;;
388,5;3,059;;;
389;3,053;;;
389,5;2,997;;;
390;2,941;;;
390,5;2,917;;;
391;2,95;;;
391,5;2,991;;;
392;3,001;;;
392,5;3,061;;;
393;3,081;;;
393,5;3,045;;;
394;3,04;;;
394,5;2,976;;;
395;2,965;;;
395,5;2,91;;;
396;2,83;;;
396,5;2,743;;;
397;2,699;;;
397,5;2,69;;;
398;2,649;;;
398,5;2,629;;;
399;2,65;;;
399,5;2,65;;;
400;2,648;;;
400,5;2,619;;;
401;2,547;;;
401,5;2,501;;;
402;2,45;;;
402,5;2,436;;;
403;2,392;;;
403,5;2,379;;;
404;2,397;;;
404,5;2,433;;;
405;2,452;;;
405,5;2,451;;;
406;2,467;;;
406,5;2,478;;;
407;2,428;;;
407,5;2,407;;;
408;2,364;;;
408,5;2,278;;;
409;2,269;;;
409,5;2,214;;;
410;2,132;;;
410,5;2,089;;;
411;2,113;;;
411,5;2,133;;;
412;2,144;;;
412,5;2,144;;;
413;2,145;;;
413,5;2,105;;;
414;2,074;;;
414,5;1,997;;;
415;1,925;;;
415,5;1,871;;;
416;1,825;;;
416,5;1,803;;;
417;1,811;;;
417,5;1,845;;;
418;1,879;;;
418,5;1,916;;;
419;1,923;;;
419,5;1,98;;;
420;2,023;;;
420,5;2,01;;;
421;1,965;;;
421,5;1,902;;;
422;1,877;;;
422,5;1,895;;;
423;1,897;;;
423,5;1,93;;;
424;1,949;;;
424,5;1,946;;;
425;1,904;;;
425,5;1,813;;;
426;1,751;;;
426,5;1,659;;;
427;1,636;;;
427,5;1,658;;;
428;1,652;;;
428,5;1,699;;;
429;1,694;;;
429,5;1,633;;;
430;1,582;;;
430,5;1,483;;;
431;1,438;;;
431,5;1,351;;;
432;1,317;;;
432,5;1,345;;;
433;1,374;;;
433,5;1,427;;;
434;1,463;;;
434,5;1,458;;;
435;1,456;;;
435,5;1,428;;;
436;1,378;;;
436,5;1,306;;;
437;1,267;;;
437,5;1,267;;;
438;1,294;;;
438,5;1,308;;;
439;1,33;;;
439,5;1,336;;;
440;1,351;;;
440,5;1,348;;;
441;1,313;;;
441,5;1,292;;;
442;1,245;;;
442,5;1,206;;;
443;1,194;;;
443,5;1,171;;;
444;1,155;;;
444,5;1,168;;;
445;1,155;;;
445,5;1,172;;;
446;1,228;;;
446,5;1,266;;;
447;1,263;;;
447,5;1,262;;;
448;1,273;;;
448,5;1,287;;;
449;1,262;;;
449,5;1,197;;;
450;1,091;;;
450,5;1,063;;;
451;1,056;;;
451,5;1,041;;;
452;1,011;;;
452,5;1,004;;;
453;0,968;;;
453,5;0,956;;;
454;0,94;;;
454,5;0,888;;;
455;0,8;;;
455,5;0,757;;;
456;0,766;;;
456,5;0,74;;;
457;0,712;;;
457,5;0,713;;;
458;0,691;;;
458,5;0,698;;;
459;0,716;;;
459,5;0,73;;;
460;0,738;;;
460,5;0,753;;;
461;0,77;;;
461,5;0,743;;;
462;0,668;;;
462,5;0,647;;;
463;0,608;;;
463,5;0,591;;;
464;0,573;;;
464,5;0,544;;;
465;0,512;;;
465,5;0,506;;;
466;0,444;;;
466,5;0,408;;;
467;0,321;;;
467,5;0,296;;;
468;0,33;;;
468,5;0,39;;;
469;0,423;;;
469,5;0,407;;;
470;0,403;;;
470,5;0,4;;;
471;0,358;;;
471,5;0,363;;;
472;0,331;;;
472,5;0,331;;;
473;0,36;;;
473,5;0,385;;;
474;0,362;;;
474,5;0,333;;;
475;0,306;;;
475,5;0,273;;;
476;0,243;;;
476,5;0,192;;;
477;0,159;;;
477,5;0,135;;;
478;0,119;;;
478,5;0,103;;;
479;0,098;;;
479,5;0,105;;;
480;0,071;;;
480,5;0,082;;;
481;0,059;;;
481,5;0,017;;;
482;0,062;;;
482,5;0,106;;;
483;0,168;;;
483,5;0,184;;;
484;0,213;;;
484,5;0,211;;;
485;0,231;;;
485,5;0,267;;;
486;0,261;;;
486,5;0,286;;;
487;0,338;;;
487,5;0,414;;;
488;0,443;;;
488,5;0,426;;;
489;0,405;;;
489,5;0,363;;;
490;0,365;;;
490,5;0,329;;;
491;0,265;;;
491,5;0,241;;;
492;0,181;;;
492,5;0,145;;;
493;0,121;;;
493,5;0,072;;;
494;0,071;;;
494,5;0,054;;;
495;0,033;;;
495,5;0,009;;;
496;0,012;;;
496,5;0,009;;;
497;-0,029;;;
497,5;-0,06;;;
498;-0,05;;;
498,5;-0,046;;;
499;-0,044;;;
499,5;-0,068;;;
500;-0,102;;;
500,5;-0,063;;;
501;-0,057;;;
501,5;-0,06;;;
502;-0,085;;;
502,5;-0,086;;;
503;-0,08;;;
503,5;-0,036;;;
504;0,013;;;
504,5;0,025;;;
505;0,068;;;
505,5;0,108;;;
506;0,06;;;
506,5;0,019;;;
507;-0,054;;;
507,5;-0,064;;;
508;-0,095;;;
508,5;-0,059;;;
509;-0,047;;;
509,5;-0,034;;;
510;-0,011;;;
510,5;-0,005;;;
511;-0,031;;;
511,5;-0,063;;;
512;-0,064;;;
512,5;-0,03;;;
513;0,005;;;
513,5;0,063;;;
514;0,064;;;
514,5;0,044;;;
515;-0,005;;;
515,5;-0,046;;;
516;-0,116;;;
516,5;-0,179;;;
517;-0,18;;;
517,5;-0,177;;;
518;-0,099;;;
518,5;-0,068;;;
519;-0,027;;;
519,5;-0,002;;;
520;-0,024;;;
520,5;0,007;;;
521;-0,009;;;
521,5;-0,051;;;
522;-0,091;;;
522,5;-0,15;;;
523;-0,173;;;
523,5;-0,225;;;
524;-0,185;;;
524,5;-0,138;;;
525;-0,105;;;
525,5;-0,06;;;
526;-0,077;;;
526,5;-0,119;;;
527;-0,147;;;
527,5;-0,212;;;
528;-0,228;;;
528,5;-0,183;;;
529;-0,101;;;
529,5;-0,023;;;
530;0,028;;;
530,5;0,001;;;
531;-0,071;;;
531,5;-0,11;;;
532;-0,11;;;
532,5;-0,17;;;
533;-0,234;;;
533,5;-0,255;;;
534;-0,295;;;
534,5;-0,339;;;
535;-0,35;;;
535,5;-0,409;;;
536;-0,414;;;
536,5;-0,378;;;
537;-0,315;;;
537,5;-0,246;;;
538;-0,235;;;
538,5;-0,248;;;
539;-0,227;;;
539,5;-0,242;;;
540;-0,189;;;
540,5;-0,183;;;
541;-0,163;;;
541,5;-0,142;;;
542;-0,108;;;
542,5;-0,086;;;
543;-0,107;;;
543,5;-0,151;;;
544;-0,136;;;
544,5;-0,134;;;
545;-0,105;;;
545,5;-0,168;;;
546;-0,276;;;
546,5;-0,369;;;
547;-0,468;;;
547,5;-0,573;;;
548;-0,581;;;
548,5;-0,588;;;
549;-0,525;;;
549,5;-0,41;;;
550;-0,27;;;
550,5;-0,203;;;
551;-0,17;;;
551,5;-0,201;;;
552;-0,252;;;
552,5;-0,332;;;
553;-0,366;;;
553,5;-0,43;;;
554;-0,464;;;
554,5;-0,454;;;
555;-0,444;;;
555,5;-0,408;;;
556;-0,353;;;
556,5;-0,397;;;
557;-0,433;;;
557,5;-0,444;;;
558;-0,421;;;
558,5;-0,394;;;
559;-0,365;;;
559,5;-0,33;;;
560;-0,338;;;
560,5;-0,393;;;
561;-0,454;;;
561,5;-0,579;;;
562;-0,649;;;
562,5;-0,646;;;
563;-0,623;;;
563,5;-0,588;;;
564;-0,557;;;
564,5;-0,497;;;
565;-0,482;;;
565,5;-0,544;;;
566;-0,549;;;
566,5;-0,599;;;
567;-0,621;;;
567,5;-0,642;;;
568;-0,693;;;
568,5;-0,737;;;
569;-0,784;;;
569,5;-0,748;;;
570;-0,706;;;
570,5;-0,65;;;
571;-0,584;;;
571,5;-0,552;;;
572;-0,55;;;
572,5;-0,541;;;
573;-0,618;;;
573,5;-0,671;;;
574;-0,665;;;
574,5;-0,582;;;
575;-0,538;;;
575,5;-0,487;;;
576;-0,432;;;
576,5;-0,424;;;
577;-0,437;;;
577,5;-0,479;;;
578;-0,522;;;
578,5;-0,605;;;
579;-0,676;;;
579,5;-0,789;;;
580;-0,842;;;
580,5;-0,852;;;
581;-0,743;;;
581,5;-0,671;;;
582;-0,608;;;
582,5;-0,539;;;
583;-0,436;;;
583,5;-0,436;;;
584;-0,442;;;
584,5;-0,525;;;
585;-0,545;;;
585,5;-0,558;;;
586;-0,558;;;
586,5;-0,557;;;
587;-0,614;;;
587,5;-0,654;;;
588;-0,65;;;
588,5;-0,692;;;
589;-0,713;;;
589,5;-0,729;;;
590;-0,686;;;
590,5;-0,639;;;
591;-0,672;;;
591,5;-0,656;;;
592;-0,703;;;
592,5;-0,751;;;
593;-0,754;;;
593,5;-0,735;;;
594;-0,682;;;
594,5;-0,614;;;
595;-0,51;;;
595,5;-0,478;;;
596;-0,435;;;
596,5;-0,435;;;
597;-0,499;;;
597,5;-0,582;;;
598;-0,609;;;
598,5;-0,62;;;
599;-0,64;;;
599,5;-0,66;;;
600;-0,673;;;
600,5;-0,7;;;
601;-0,674;;;
601,5;-0,716;;;
602;-0,682;;;
602,5;-0,654;;;
603;-0,624;;;
603,5;-0,586;;;
604;-0,555;;;
604,5;-0,536;;;
605;-0,556;;;
605,5;-0,625;;;
606;-0,656;;;
606,5;-0,73;;;
607;-0,718;;;
607,5;-0,747;;;
608;-0,79;;;
608,5;-0,799;;;
609;-0,743;;;
609,5;-0,711;;;
610;-0,664;;;
610,5;-0,631;;;
611;-0,575;;;
611,5;-0,578;;;
612;-0,601;;;
612,5;-0,643;;;
613;-0,703;;;
613,5;-0,757;;;
614;-0,729;;;
614,5;-0,75;;;
615;-0,732;;;
615,5;-0,746;;;
616;-0,778;;;
616,5;-0,816;;;
617;-0,847;;;
617,5;-0,848;;;
618;-0,844;;;
618,5;-0,787;;;
619;-0,693;;;
619,5;-0,65;;;
620;-0,572;;;
620,5;-0,569;;;
621;-0,62;;;
621,5;-0,657;;;
622;-0,759;;;
622,5;-0,859;;;
623;-0,999;;;
623,5;-1,084;;;
624;-1,09;;;
624,5;-1,055;;;
625;-0,955;;;
625,5;-0,865;;;
626;-0,734;;;
626,5;-0,556;;;
627;-0,456;;;
627,5;-0,455;;;
628;-0,501;;;
628,5;-0,521;;;
629;-0,535;;;
629,5;-0,581;;;
630;-0,656;;;
630,5;-0,725;;;
631;-0,754;;;
631,5;-0,722;;;
632;-0,745;;;
632,5;-0,719;;;
633;-0,7;;;
633,5;-0,623;;;
634;-0,614;;;
634,5;-0,639;;;
635;-0,716;;;
635,5;-0,794;;;
636;-0,884;;;
636,5;-0,861;;;
637;-0,918;;;
637,5;-0,871;;;
638;-0,816;;;
638,5;-0,751;;;
639;-0,721;;;
639,5;-0,71;;;
640;-0,743;;;
640,5;-0,759;;;
641;-0,784;;;
641,5;-0,789;;;
642;-0,794;;;
642,5;-0,756;;;
643;-0,702;;;
643,5;-0,675;;;
644;-0,641;;;
644,5;-0,645;;;
645;-0,684;;;
645,5;-0,637;;;
646;-0,634;;;
646,5;-0,615;;;
647;-0,626;;;
647,5;-0,656;;;
648;-0,655;;;
648,5;-0,712;;;
649;-0,695;;;
649,5;-0,613;;;
650;-0,542;;;
650,5;-0,457;;;
651;-0,398;;;
651,5;-0,439;;;
652;-0,496;;;
652,5;-0,554;;;
653;-0,527;;;
653,5;-0,619;;;
654;-0,584;;;
654,5;-0,496;;;
655;-0,431;;;
655,5;-0,446;;;
656;-0,477;;;
656,5;-0,615;;;
657;-0,684;;;
657,5;-0,739;;;
658;-0,742;;;
658,5;-0,734;;;
659;-0,642;;;
659,5;-0,541;;;
660;-0,432;;;
660,5;-0,383;;;
661;-0,384;;;
661,5;-0,444;;;
662;-0,504;;;
662,5;-0,592;;;
663;-0,623;;;
663,5;-0,559;;;
664;-0,479;;;
664,5;-0,5;;;
665;-0,477;;;
665,5;-0,454;;;
666;-0,474;;;
666,5;-0,499;;;
667;-0,595;;;
667,5;-0,699;;;
668;-0,791;;;
668,5;-0,877;;;
669;-0,94;;;
669,5;-1,108;;;
670;-1,184;;;
670,5;-1,148;;;
671;-1,084;;;
671,5;-0,974;;;
672;-0,893;;;
672,5;-0,834;;;
673;-0,788;;;
673,5;-0,77;;;
674;-0,785;;;
674,5;-0,822;;;
675;-0,815;;;
675,5;-0,762;;;
676;-0,818;;;
676,5;-0,857;;;
677;-0,864;;;
677,5;-0,903;;;
678;-0,963;;;
678,5;-0,964;;;
679;-0,98;;;
679,5;-0,954;;;
680;-0,908;;;
680,5;-0,924;;;
681;-0,989;;;
681,5;-1,002;;;
682;-1,003;;;
682,5;-0,989;;;
683;-0,892;;;
683,5;-0,801;;;
684;-0,753;;;
684,5;-0,704;;;
685;-0,606;;;
685,5;-0,566;;;
686;-0,574;;;
686,5;-0,498;;;
687;-0,546;;;
687,5;-0,585;;;
688;-0,625;;;
688,5;-0,714;;;
689;-0,835;;;
689,5;-0,877;;;
690;-0,872;;;
690,5;-0,849;;;
691;-0,819;;;
691,5;-0,747;;;
692;-0,839;;;
692,5;-0,957;;;
693;-1,054;;;
693,5;-1,165;;;
694;-1,249;;;
694,5;-1,283;;;
695;-1,247;;;
695,5;-1,121;;;
696;-0,963;;;
696,5;-0,846;;;
697;-0,791;;;
697,5;-0,746;;;
698;-0,707;;;
698,5;-0,675;;;
699;-0,614;;;
699,5;-0,596;;;
700;-0,574;;;
700,5;-0,543;;;
701;-0,525;;;
701,5;-0,565;;;
702;-0,608;;;
702,5;-0,571;;;
703;-0,566;;;
703,5;-0,539;;;
704;-0,499;;;
704,5;-0,499;;;
705;-0,566;;;
705,5;-0,719;;;
706;-0,816;;;
706,5;-0,963;;;
707;-1,041;;;
707,5;-1,02;;;
708;-1,082;;;
708,5;-1,117;;;
709;-1,081;;;
709,5;-1,121;;;
710;-1,176;;;
710,5;-1,204;;;
711;-1,121;;;
711,5;-1,091;;;
712;-1,05;;;
712,5;-0,996;;;
713;-1,024;;;
713,5;-1,01;;;
714;-1,025;;;
714,5;-1,046;;;
715;-1,007;;;
715,5;-0,911;;;
716;-0,808;;;
716,5;-0,768;;;
717;-0,793;;;
717,5;-0,74;;;
718;-0,694;;;
718,5;-0,668;;;
719;-0,674;;;
719,5;-0,578;;;
720;-0,493;;;
720,5;-0,469;;;
721;-0,591;;;
721,5;-0,699;;;
722;-0,839;;;
722,5;-0,925;;;
723;-1,001;;;
723,5;-1,108;;;
724;-1,203;;;
724,5;-1,149;;;
725;-1,132;;;
725,5;-1,142;;;
726;-1,154;;;
726,5;-1,046;;;
727;-0,86;;;
727,5;-0,65;;;
728;-0,48;;;
728,5;-0,371;;;
729;-0,35;;;
729,5;-0,41;;;
730;-0,542;;;
730,5;-0,78;;;
731;-1,01;;;
731,5;-1,23;;;
732;-1,265;;;
732,5;-1,196;;;
733;-1,127;;;
733,5;-0,978;;;
734;-0,856;;;
734,5;-0,775;;;
735;-0,72;;;
735,5;-0,712;;;
736;-0,775;;;
736,5;-0,904;;;
737;-0,918;;;
737,5;-0,975;;;
738;-1,021;;;
738,5;-1,007;;;
739;-0,938;;;
739,5;-0,876;;;
740;-0,823;;;
740,5;-0,789;;;
741;-0,806;;;
741,5;-0,804;;;
742;-0,728;;;
742,5;-0,734;;;
743;-0,727;;;
743,5;-0,638;;;
744;-0,541;;;
744,5;-0,499;;;
745;-0,41;;;
745,5;-0,387;;;
746;-0,379;;;
746,5;-0,381;;;
747;-0,447;;;
747,5;-0,484;;;
748;-0,533;;;
748,5;-0,517;;;
749;-0,595;;;
749,5;-0,619;;;
750;-0,569;;;
750,5;-0,554;;;
751;-0,552;;;
751,5;-0,575;;;
752;-0,655;;;
752,5;-0,729;;;
753;-0,788;;;
753,5;-0,917;;;
754;-1,118;;;
754,5;-1,235;;;
755;-1,283;;;
755,5;-1,245;;;
756;-1,239;;;
756,5;-1,201;;;
757;-1,13;;;
757,5;-1,05;;;
